Country Name,Country Code,Region,Year,LifeExpectancy
China,CHN,East Asia & Pacific,2009,75.317
Singapore,SGP,East Asia & Pacific,2009,81.24146341463415
Vanuatu,VUT,East Asia & Pacific,2009,69.422
Palau,PLW,East Asia & Pacific,2009,67.99
French Polynesia,PYF,East Asia & Pacific,2009,80.867
Marshall Islands,MHL,East Asia & Pacific,2010,64.498
"Korea, Rep.",KOR,East Asia & Pacific,2010,80.11707317073171
China,CHN,East Asia & Pacific,2010,75.668
Singapore,SGP,East Asia & Pacific,2010,81.54146341463417
Vanuatu,VUT,East Asia & Pacific,2010,69.57
Palau,PLW,East Asia & Pacific,2010,68.347
French Polynesia,PYF,East Asia & Pacific,2010,81.141
Marshall Islands,MHL,East Asia & Pacific,2011,64.641
"Korea, Rep.",KOR,East Asia & Pacific,2011,80.56829268292685
China,CHN,East Asia & Pacific,2011,75.889
Singapore,SGP,East Asia & Pacific,2011,81.7439024390244
Vanuatu,VUT,East Asia & Pacific,2011,69.729
Palau,PLW,East Asia & Pacific,2011,68.638
French Polynesia,PYF,East Asia & Pacific,2011,81.434
Marshall Islands,MHL,East Asia & Pacific,2012,64.776
"Korea, Rep.",KOR,East Asia & Pacific,2012,80.81951219512196
China,CHN,East Asia & Pacific,2012,76.2
Singapore,SGP,East Asia & Pacific,2012,81.99512195121952
Vanuatu,VUT,East Asia & Pacific,2012,69.898
Palau,PLW,East Asia & Pacific,2012,68.863
French Polynesia,PYF,East Asia & Pacific,2012,81.695
Marshall Islands,MHL,East Asia & Pacific,2013,64.954
"Korea, Rep.",KOR,East Asia & Pacific,2013,81.27073170731707
China,CHN,East Asia & Pacific,2013,76.452
Singapore,SGP,East Asia & Pacific,2013,82.24634146341465
Vanuatu,VUT,East Asia & Pacific,2013,69.986
Palau,PLW,East Asia & Pacific,2013,68.981
French Polynesia,PYF,East Asia & Pacific,2013,81.935
Marshall Islands,MHL,East Asia & Pacific,2014,65.11
"Korea, Rep.",KOR,East Asia & Pacific,2014,81.7219512195122
China,CHN,East Asia & Pacific,2014,76.714
Singapore,SGP,East Asia & Pacific,2014,82.49512195121953
Vanuatu,VUT,East Asia & Pacific,2014,70.043
Palau,PLW,East Asia & Pacific,2014,69.062
French Polynesia,PYF,East Asia & Pacific,2014,82.151
Marshall Islands,MHL,East Asia & Pacific,2015,65.292
"Korea, Rep.",KOR,East Asia & Pacific,2015,82.02439024390245
China,CHN,East Asia & Pacific,2015,76.975
Singapore,SGP,East Asia & Pacific,2015,82.7439024390244
Vanuatu,VUT,East Asia & Pacific,2015,70.163
Palau,PLW,East Asia & Pacific,2015,69.07
French Polynesia,PYF,East Asia & Pacific,2015,82.339
Marshall Islands,MHL,East Asia & Pacific,2016,65.477
"Korea, Rep.",KOR,East Asia & Pacific,2016,82.27560975609758
China,CHN,East Asia & Pacific,2016,77.214
Singapore,SGP,East Asia & Pacific,2016,82.84634146341465
Vanuatu,VUT,East Asia & Pacific,2016,70.397
Palau,PLW,East Asia & Pacific,2016,69.046
French Polynesia,PYF,East Asia & Pacific,2016,82.555
Marshall Islands,MHL,East Asia & Pacific,2017,65.673
"Korea, Rep.",KOR,East Asia & Pacific,2017,82.62682926829268
China,CHN,East Asia & Pacific,2017,77.235
Singapore,SGP,East Asia & Pacific,2017,83.09512195121954
Vanuatu,VUT,East Asia & Pacific,2017,70.5
Palau,PLW,East Asia & Pacific,2017,69.019
French Polynesia,PYF,East Asia & Pacific,2017,82.774
Marshall Islands,MHL,East Asia & Pacific,2018,65.87
"Korea, Rep.",KOR,East Asia & Pacific,2018,82.62682926829268
China,CHN,East Asia & Pacific,2018,77.709
Singapore,SGP,East Asia & Pacific,2018,83.29756097560976
Vanuatu,VUT,East Asia & Pacific,2018,70.626
Palau,PLW,East Asia & Pacific,2018,68.989
French Polynesia,PYF,East Asia & Pacific,2018,82.985
Marshall Islands,MHL,East Asia & Pacific,2019,66.047
"Korea, Rep.",KOR,East Asia & Pacific,2019,83.22682926829269
China,CHN,East Asia & Pacific,2019,77.94
Singapore,SGP,East Asia & Pacific,2019,83.59512195121953
Vanuatu,VUT,East Asia & Pacific,2019,70.783
Palau,PLW,East Asia & Pacific,2019,68.982
French Polynesia,PYF,East Asia & Pacific,2019,83.195
Marshall Islands,MHL,East Asia & Pacific,2020,65.387
"Korea, Rep.",KOR,East Asia & Pacific,2020,83.42682926829269
China,CHN,East Asia & Pacific,2020,78.019
Singapore,SGP,East Asia & Pacific,2020,83.5439024390244
Vanuatu,VUT,East Asia & Pacific,2020,70.385
Palau,PLW,East Asia & Pacific,2020,68.689
French Polynesia,PYF,East Asia & Pacific,2020,82.459
Marshall Islands,MHL,East Asia & Pacific,2021,65.421
"Korea, Rep.",KOR,East Asia & Pacific,2021,83.52682926829269
China,CHN,East Asia & Pacific,2021,78.117
Singapore,SGP,East Asia & Pacific,2021,83.09268292682928
Vanuatu,VUT,East Asia & Pacific,2021,69.952
Palau,PLW,East Asia & Pacific,2021,68.563
French Polynesia,PYF,East Asia & Pacific,2021,79.571
Marshall Islands,MHL,East Asia & Pacific,2022,66.725
"Korea, Rep.",KOR,East Asia & Pacific,2022,82.68048780487806
China,CHN,East Asia & Pacific,2022,78.202
Singapore,SGP,East Asia & Pacific,2022,82.89512195121952
Vanuatu,VUT,East Asia & Pacific,2022,71.302
Palau,PLW,East Asia & Pacific,2022,68.922
French Polynesia,PYF,East Asia & Pacific,2022,83.859
Marshall Islands,MHL,East Asia & Pacific,2023,66.945
"Korea, Rep.",KOR,East Asia & Pacific,2023,83.42926829268293
China,CHN,East Asia & Pacific,2023,77.953
Singapore,SGP,East Asia & Pacific,2023,82.89512195121952
Vanuatu,VUT,East Asia & Pacific,2023,71.477
Palau,PLW,East Asia & Pacific,2023,69.269
French Polynesia,PYF,East Asia & Pacific,2023,84.07
Albania,ALB,Europe & Central Asia,1960,56.413
Belarus,BLR,Europe & Central Asia,1960,69.25460975609757
Luxembourg,LUX,Europe & Central Asia,1960,68.80056097560977
Denmark,DNK,Europe & Central Asia,1960,72.17658536585365
Russian Federation,RUS,Europe & Central Asia,1960,67.52612195121952
Tajikistan,TJK,Europe & Central Asia,1960,52.535
Montenegro,MNE,Europe & Central Asia,1960,65.49219512195123
Ireland,IRL,Europe & Central Asia,1960,70.19426829268295
Serbia,SRB,Europe & Central Asia,1960,65.5898536585366
Czechia,CZE,Europe & Central Asia,1960,70.34878048780489
Slovenia,SVN,Europe & Central Asia,1960,68.97804878048781
Albania,ALB,Europe & Central Asia,1961,57.488
Belarus,BLR,Europe & Central Asia,1961,69.73839024390244
Luxembourg,LUX,Europe & Central Asia,1961,69.1529268292683
Denmark,DNK,Europe & Central Asia,1961,72.43829268292684
Russian Federation,RUS,Europe & Central Asia,1961,67.78273170731708
Tajikistan,TJK,Europe & Central Asia,1961,52.944
Montenegro,MNE,Europe & Central Asia,1961,65.92819512195123
Ireland,IRL,Europe & Central Asia,1961,69.67829268292684
Serbia,SRB,Europe & Central Asia,1961,66.18419512195123
Czechia,CZE,Europe & Central Asia,1961,70.51268292682927
Slovenia,SVN,Europe & Central Asia,1961,68.97804878048781
Albania,ALB,Europe & Central Asia,1962,58.494
Belarus,BLR,Europe & Central Asia,1962,69.46231707317075
Luxembourg,LUX,Europe & Central Asia,1962,68.43173170731708
Denmark,DNK,Europe & Central Asia,1962,72.31975609756098
Russian Federation,RUS,Europe & Central Asia,1962,67.69885365853659
Tajikistan,TJK,Europe & Central Asia,1962,53.374
Montenegro,MNE,Europe & Central Asia,1962,66.21787804878049
Ireland,IRL,Europe & Central Asia,1962,69.99104878048782
Serbia,SRB,Europe & Central Asia,1962,66.92304878048782
Czechia,CZE,Europe & Central Asia,1962,69.78682926829268
Slovenia,SVN,Europe & Central Asia,1962,68.97804878048781
Albania,ALB,Europe & Central Asia,1963,59.479
Belarus,BLR,Europe & Central Asia,1963,69.70978048780489
Luxembourg,LUX,Europe & Central Asia,1963,68.6719756097561
Denmark,DNK,Europe & Central Asia,1963,72.40048780487805
Russian Federation,RUS,Europe & Central Asia,1963,68.27458536585365
Tajikistan,TJK,Europe & Central Asia,1963,53.791
Montenegro,MNE,Europe & Central Asia,1963,66.60719512195124
Ireland,IRL,Europe & Central Asia,1963,70.23009756097562
